#RPLIDAR SCAN DATA
#COUNT=501
#Angule	Distance	Quality
359.2804 5150.0 188
0.0000 5196.0 188
0.7031 5254.0 188
1.4172 5310.0 188
2.1204 5359.0 188
2.8400 5411.0 188
3.5431 5466.0 188
4.2627 5521.0 188
4.9658 5576.0 188
5.6854 5634.0 188
6.3885 5698.0 188
7.0917 5758.0 188
7.8113 5819.0 188
8.5144 5881.0 188
9.2340 5945.0 188
9.9371 6017.0 188
10.6512 6092.0 188
11.3544 6173.0 188
12.0740 6252.0 188
12.7771 6334.0 188
13.4967 6425.0 188
14.1998 6519.0 188
14.9194 6619.0 188
15.6226 6721.0 188
16.3422 6827.0 188
17.0453 6942.0 188
17.7649 7007.0 188
18.4680 6976.0 188
19.1821 6910.0 188
19.8853 6849.0 188
20.6049 6790.0 188
21.3080 6737.0 188
22.0111 6682.0 188
22.7142 6631.0 188
23.4174 6581.0 188
24.1205 6533.0 188
24.8401 6488.0 188
25.5432 6442.0 188
26.2463 6398.0 188
26.9495 6355.0 188
27.6526 6314.0 188
28.3557 6275.0 188
29.0753 6240.0 188
29.7784 6207.0 188
30.4816 6172.0 188
31.1847 6138.0 188
31.8878 6103.0 188
32.5909 6072.0 188
33.3105 6044.0 188
34.0137 6017.0 188
34.7168 5990.0 188
35.4199 5960.0 188
36.1230 5933.0 188
36.8427 5909.0 188
37.5458 5884.0 188
38.2489 5861.0 188
38.9520 5840.0 188
39.6552 5821.0 188
40.3583 5803.0 188
41.0779 5786.0 188
41.7810 5769.0 188
42.4841 5754.0 188
43.1873 5741.0 188
43.8904 5725.0 188
44.5935 5710.0 188
45.3076 5698.0 188
46.0107 5688.0 188
46.7139 5680.0 188
47.4170 5671.0 188
48.1201 5661.0 188
48.8397 5652.0 188
49.5428 5646.0 188
50.2460 5641.0 188
50.9491 5638.0 188
51.6687 5634.0 188
52.3718 5629.0 188
53.0750 5627.0 188
53.7946 5626.0 188
54.4977 5626.0 188
55.2008 5627.0 188
55.9039 5628.0 188
56.6235 5631.0 188
57.3267 5635.0 188
58.0298 5638.0 188
58.7494 5644.0 188
59.4525 5649.0 188
60.1556 5654.0 188
60.8698 5663.0 188
61.5729 5672.0 188
62.2760 5681.0 188
62.9791 5692.0 188
63.6987 5703.0 188
64.4019 5717.0 188
65.1050 5729.0 188
65.8246 5741.0 188
66.5277 5755.0 188
67.2308 5768.0 188
67.9504 5776.0 188
70.7794 4836.0 188
71.4825 4855.0 188
72.1857 4868.0 188
72.9053 4882.0 188
73.6084 4904.0 188
74.3115 4925.0 188
75.0311 4948.0 188
75.7343 4970.0 188
76.4374 4992.0 188
77.1515 5017.0 188
77.8546 5043.0 188
78.5577 5069.0 188
79.2609 5095.0 188
79.9640 5125.0 188
80.6671 5155.0 188
81.3702 5184.0 188
82.0734 5216.0 188
82.7930 5242.0 188
83.4961 5184.0 188
84.1992 5058.0 188
84.9023 4950.0 188
85.6055 4849.0 188
86.3086 4748.0 188
87.0117 4652.0 188
87.7148 4562.0 188
88.4344 4474.0 188
89.1376 4388.0 188
89.8407 4308.0 188
90.5438 4234.0 188
91.2469 4162.0 188
91.9501 4091.0 188
92.6532 4027.0 188
93.3563 3966.0 188
94.0759 3903.0 188
94.7791 3846.0 188
95.4822 3792.0 188
96.1853 3738.0 188
96.8884 3685.0 188
97.5916 3634.0 188
98.2947 3585.0 188
98.9978 3539.0 188
99.7174 3496.0 188
100.4205 3451.0 188
101.1237 3410.0 188
101.8268 3372.0 188
102.5299 3334.0 188
103.2330 3299.0 188
103.9362 3265.0 188
104.6393 3230.0 188
105.3589 3197.0 188
106.0455 3168.0 188
106.7487 3137.0 188
107.4518 3106.0 188
108.1384 3079.0 188
108.8416 3053.0 188
109.5447 3026.0 188
110.2313 3001.0 188
110.9344 2975.0 188
111.6376 2951.0 188
112.3242 2929.0 188
113.0273 2907.0 188
113.7305 2887.0 188
114.4171 2866.0 188
115.1202 2846.0 188
115.8234 2827.0 188
116.5155 2808.0 188
117.2186 2789.0 188
117.9218 2771.0 188
118.6084 2754.0 188
119.3115 2752.0 188
120.0146 2801.0 188
120.7013 2846.0 188
121.4044 2836.0 188
122.1075 2806.0 188
122.7942 2787.0 188
123.4973 2803.0 188
124.8871 2953.0 188
125.5902 2965.0 188
126.2933 2943.0 188
126.9800 2929.0 188
127.6831 2919.0 188
128.3862 2907.0 188
129.0729 2896.0 188
129.7760 2886.0 188
130.4791 2876.0 188
131.1713 2866.0 188
131.8744 2859.0 188
132.5775 2851.0 188
133.2806 2844.0 188
133.9838 2837.0 188
134.6979 2828.0 188
135.4010 2823.0 188
136.8237 4967.0 188
138.2465 2802.0 188
138.9661 2796.0 188
139.6692 2795.0 188
140.3888 2793.0 188
141.1084 2788.0 188
142.5311 2579.0 188
143.2343 2587.0 188
143.9484 2593.0 188
144.6515 2591.0 188
145.3711 2592.0 188
146.0742 2595.0 188
146.7938 2596.0 188
147.4969 2601.0 188
148.2166 2605.0 188
148.9362 2608.0 188
149.6393 2610.0 188
150.3589 2614.0 188
151.0620 2618.0 188
151.7761 2622.0 188
152.4792 2626.0 188
153.9020 2507.0 188
154.6216 2508.0 188
155.3412 2515.0 188
156.0443 2522.0 188
156.7639 2529.0 188
157.4670 2535.0 188
158.1866 2543.0 188
158.8898 2551.0 188
159.6094 2559.0 188
160.3125 2567.0 188
161.0266 2576.0 188
161.7462 2587.0 188
162.4329 2596.0 188
163.1360 2606.0 188
163.8391 2618.0 188
164.5422 2629.0 188
165.2454 2642.0 188
