#RPLIDAR SCAN DATA
#COUNT=462
#Angule	Distance	Quality
359.3079 5716.0 188
0.0110 5780.0 188
0.7141 5843.0 188
1.4172 5911.0 188
2.1204 5986.0 188
2.8235 6060.0 188
3.5266 6136.0 188
4.2297 6216.0 188
4.9329 6299.0 188
5.6360 6385.0 188
7.0422 11392.0 188
7.7454 11407.0 188
8.4485 11421.0 188
9.1681 11439.0 188
9.8712 11460.0 188
10.5743 11475.0 188
11.2775 11495.0 188
11.9806 11517.0 188
12.6837 11539.0 188
13.3868 11569.0 188
14.1064 11601.0 188
14.8096 11635.0 188
16.2158 12189.0 188
20.4510 10048.0 188
22.5604 9180.0 188
24.6863 6549.0 188
25.3894 6369.0 188
26.0925 6245.0 188
26.7957 6189.0 188
27.4988 6130.0 188
28.9215 7140.0 188
31.0309 5331.0 188
32.4481 4111.0 188
33.1512 4134.0 188
33.8708 4087.0 188
34.5740 3986.0 188
35.2936 3895.0 188
35.9967 3829.0 188
36.7163 3764.0 188
37.4194 3681.0 188
38.1390 3612.0 188
38.8422 3553.0 188
39.5618 3493.0 188
40.2649 3434.0 188
40.9790 3379.0 188
41.6821 3332.0 188
42.4017 3285.0 188
43.1049 3235.0 188
43.8245 3183.0 188
45.2472 2906.0 188
45.9503 2937.0 188
46.6699 2974.0 188
47.3730 3011.0 188
48.0927 3043.0 188
48.7958 3077.0 188
49.5154 3119.0 188
50.2185 3159.0 188
50.9326 3200.0 188
51.6357 3266.0 188
52.3553 3293.0 188
53.0585 3261.0 188
53.7781 3227.0 188
54.4812 3195.0 188
55.2008 3166.0 188
55.9039 3137.0 188
56.6235 3107.0 188
57.3267 3081.0 188
58.0463 3054.0 188
58.7494 3028.0 188
59.4635 3004.0 188
60.1666 2980.0 188
60.8862 2956.0 188
61.5729 2934.0 188
62.2760 2913.0 188
62.9791 2891.0 188
63.6823 2872.0 188
64.3854 2855.0 188
65.0885 2835.0 188
65.7916 2816.0 188
66.4948 2799.0 188
67.1979 2782.0 188
67.9010 2766.0 188
68.6041 2750.0 188
69.3073 2733.0 188
70.0104 2716.0 188
70.7025 2703.0 188
71.4056 2690.0 188
72.1088 2682.0 188
72.8119 2698.0 188
73.5150 2731.0 188
74.2181 2748.0 188
74.9213 2719.0 188
75.6244 2682.0 188
76.3275 2671.0 188
77.0306 2663.0 188
77.7338 2658.0 188
78.4369 2653.0 188
79.1400 2646.0 188
79.8267 2638.0 188
80.5298 2633.0 188
81.2329 2630.0 188
81.9360 2626.0 188
82.6392 2622.0 188
83.3423 2617.0 188
84.0454 2614.0 188
84.7485 2612.0 188
85.4517 2609.0 188
86.1548 2614.0 188
86.8579 2629.0 188
87.5610 2639.0 188
88.2642 2639.0 188
88.9673 2618.0 188
89.6704 2598.0 188
90.3735 2596.0 188
91.0767 2596.0 188
91.7963 2595.0 188
92.4994 2595.0 188
93.2025 2594.0 188
93.9056 2590.0 188
94.6198 2589.0 188
95.3229 2591.0 188
96.0260 2595.0 188
96.7456 2595.0 188
97.4487 2595.0 188
98.1519 2598.0 188
98.8550 2602.0 188
99.5746 2604.0 188
100.2777 2608.0 188
100.9808 2614.0 188
101.6840 2619.0 188
102.4036 2624.0 188
103.1067 2644.0 188
103.8098 2665.0 188
104.5294 2667.0 188
105.2325 2648.0 188
105.9357 2612.0 188
106.6388 2595.0 188
107.3584 2602.0 188
108.0615 2615.0 188
108.7646 2625.0 188
109.4678 2633.0 188
110.1874 2641.0 188
110.8905 2642.0 188
111.5936 2646.0 188
112.3077 2657.0 188
113.0109 2668.0 188
113.7140 2682.0 188
114.4171 2693.0 188
115.1367 2705.0 188
115.8398 2716.0 188
116.5430 2729.0 188
117.2626 2743.0 188
117.9492 2758.0 188
118.6523 2773.0 188
