#RPLIDAR SCAN DATA
#COUNT=484
#Angule	Distance	Quality
359.3738 105.0 188
0.0934 104.0 188
0.7965 105.0 188
1.5106 105.0 188
2.2137 104.0 188
2.9169 105.0 188
3.6365 105.0 188
4.3396 104.0 188
5.0427 105.0 188
5.7623 105.0 188
6.4655 105.0 188
7.1686 106.0 188
7.8882 105.0 188
8.5913 105.0 188
9.2944 106.0 188
10.0140 107.0 188
10.7172 106.0 188
11.4203 106.0 188
12.1399 107.0 188
12.8430 107.0 188
13.5571 107.0 188
14.2493 107.0 188
14.9524 108.0 188
15.6555 108.0 188
16.3586 109.0 188
17.0618 110.0 188
17.7649 110.0 188
18.4680 110.0 188
19.1711 109.0 188
19.8743 110.0 188
20.5774 111.0 188
21.2805 111.0 188
21.9836 111.0 188
22.6868 110.0 188
23.3734 110.0 188
24.0765 112.0 188
24.7797 112.0 188
25.4828 113.0 188
26.1859 114.0 188
26.8890 112.0 188
27.5922 113.0 188
28.2953 115.0 188
28.9984 116.0 188
29.7015 117.0 188
30.4047 117.0 188
31.1078 117.0 188
31.8109 119.0 188
32.4976 121.0 188
33.2007 121.0 188
33.9038 122.0 188
34.6069 124.0 188
35.3101 126.0 188
36.0132 128.0 188
36.7163 129.0 188
38.1226 135.0 188
39.5288 131.0 188
40.2319 130.0 188
42.3413 117.0 188
43.7640 111.0 188
44.4836 110.0 188
45.1978 109.0 188
46.6205 103.0 188
48.7628 97.0 188
49.4659 97.0 188
50.1855 95.0 188
52.3279 93.0 188
53.0420 94.0 188
53.7451 93.0 188
54.4647 92.0 188
55.1678 91.0 188
55.8875 90.0 188
56.6071 90.0 188
57.3102 90.0 188
58.0298 88.0 188
58.7494 88.0 188
59.4525 87.0 188
60.1666 87.0 188
60.8698 87.0 188
61.5894 86.0 188
62.3090 86.0 188
63.0121 86.0 188
63.7317 86.0 188
64.4513 85.0 188
65.1544 86.0 188
65.8740 87.0 188
66.5771 87.0 188
67.2968 87.0 188
68.0109 87.0 188
68.7140 87.0 188
69.4336 86.0 188
70.1532 86.0 188
70.8563 87.0 188
71.5594 88.0 188
72.2626 89.0 188
72.9657 89.0 188
73.6688 88.0 188
74.3719 88.0 188
75.0751 89.0 188
75.7782 89.0 188
76.4813 88.0 188
77.1844 88.0 188
77.8876 89.0 188
78.5907 89.0 188
79.2938 88.0 188
80.0134 88.0 188
80.7166 88.0 188
81.4197 89.0 188
82.1228 89.0 188
82.8259 88.0 188
83.5291 88.0 188
84.2322 88.0 188
84.9353 88.0 188
85.6384 87.0 188
86.3416 87.0 188
87.0447 89.0 188
87.7478 89.0 188
88.4509 88.0 188
89.1705 89.0 188
89.8737 89.0 188
90.5768 88.0 188
91.2799 88.0 188
91.9830 88.0 188
92.6862 89.0 188
93.3893 89.0 188
94.0924 89.0 188
94.7955 89.0 188
95.4987 89.0 188
96.2018 89.0 188
96.9049 87.0 188
97.6080 87.0 188
98.3276 87.0 188
99.0143 87.0 188
99.7174 87.0 188
100.4205 86.0 188
101.1237 86.0 188
101.8268 86.0 188
102.5299 85.0 188
103.2330 86.0 188
103.9362 88.0 188
104.6393 87.0 188
105.3424 85.0 188
106.0455 86.0 188
107.4518 83.0 188
108.1549 85.0 188
108.8580 86.0 188
109.5612 85.0 188
110.2643 83.0 188
110.9674 84.0 188
111.6705 86.0 188
112.3737 85.0 188
113.7799 87.0 188
114.4830 87.0 188
115.1862 87.0 188
115.8893 88.0 188
116.5924 89.0 188
117.2955 89.0 188
117.9987 90.0 188
118.7018 90.0 188
119.4049 90.0 188
120.8112 92.0 188
121.5143 92.0 188
122.2174 94.0 188
122.9205 95.0 188
123.6237 96.0 188
124.3268 98.0 188
125.0299 98.0 188
125.7330 99.0 188
126.4362 100.0 188
127.8424 103.0 188
128.5620 104.0 188
129.9792 110.0 188
130.6824 110.0 188
131.4020 111.0 188
132.8247 117.0 188
133.5278 118.0 188
134.2474 120.0 188
134.9506 121.0 188
135.6702 122.0 188
137.7960 134.0 188
138.5156 137.0 188
139.2188 139.0 188
140.6360 143.0 188
141.3391 140.0 188
142.0587 139.0 188
142.7618 139.0 188
144.1846 130.0 188
144.9042 128.0 188
145.6073 126.0 188
146.3269 125.0 188
147.0300 124.0 188
147.7496 122.0 188
