#RPLIDAR SCAN DATA
#COUNT=436
#Angule	Distance	Quality
0.2966 6184.0 188
0.9668 6225.0 188
1.6370 6268.0 188
2.3071 6311.0 188
2.9828 6359.0 188
3.6530 6410.0 188
4.3231 6464.0 188
4.9988 6512.0 188
6.3391 5362.0 188
7.0312 5307.0 188
9.0417 6858.0 188
9.7174 6935.0 188
10.3876 7015.0 188
11.0577 7087.0 188
11.7499 7156.0 188
12.4200 7229.0 188
13.0902 7307.0 188
13.7604 7386.0 188
14.4360 7470.0 188
15.1062 7555.0 188
15.7764 7643.0 188
16.4685 7701.0 188
17.8088 6216.0 188
19.1547 7376.0 188
19.8248 7314.0 188
20.4950 7245.0 188
21.1871 7175.0 188
21.8573 7111.0 188
22.5275 7045.0 188
23.2031 6977.0 188
23.8733 6911.0 188
24.5435 6848.0 188
25.2301 6793.0 188
25.9058 6738.0 188
26.5759 6683.0 188
27.2461 6628.0 188
27.9218 6576.0 188
28.5919 6529.0 188
29.2621 6480.0 188
30.6244 63.0 188
31.2946 62.0 188
33.9972 68.0 188
34.6674 68.0 188
36.0297 70.0 188
36.6998 69.0 188
38.0621 72.0 188
38.7488 72.0 188
39.4189 72.0 188
40.1056 72.0 188
40.7812 71.0 188
41.4679 71.0 188
42.1381 71.0 188
42.8247 71.0 188
43.4949 72.0 188
44.1870 71.0 188
44.8572 71.0 188
45.5438 71.0 188
46.9061 73.0 188
47.5763 73.0 188
48.2465 73.0 188
48.9331 72.0 188
49.6088 71.0 188
50.2954 72.0 188
50.9656 71.0 188
51.6522 71.0 188
52.3279 72.0 188
53.0145 72.0 188
53.6847 72.0 188
54.3713 72.0 188
55.0415 73.0 188
55.7336 72.0 188
56.4038 72.0 188
57.0905 71.0 188
57.7606 71.0 188
58.4528 71.0 188
59.1229 71.0 188
59.8096 71.0 188
60.4797 72.0 188
61.1719 72.0 188
61.8256 72.0 188
62.4957 72.0 188
63.1714 72.0 188
63.8416 71.0 188
64.5117 71.0 188
65.1709 71.0 188
65.8411 72.0 188
66.5112 72.0 188
67.1869 73.0 188
67.8571 73.0 188
68.5272 73.0 188
69.1864 73.0 188
69.8566 73.0 188
70.5267 73.0 188
71.2024 71.0 188
71.8726 72.0 188
72.5427 72.0 188
73.2019 73.0 188
73.8721 74.0 188
74.5422 74.0 188
75.2179 73.0 188
75.8881 73.0 188
76.5417 73.0 188
77.2174 73.0 188
77.8876 72.0 188
78.5577 72.0 188
