#RPLIDAR SCAN DATA
#COUNT=404
#Angule	Distance	Quality
359.7968 6205.0 188
0.5109 6249.0 188
1.2140 6295.0 188
1.9336 6342.0 188
2.6367 6392.0 188
3.3398 6446.0 188
4.0594 6501.0 188
4.7626 6544.0 188
6.1853 5300.0 188
8.3112 6860.0 188
9.0143 6941.0 188
9.7339 7024.0 188
10.4370 7094.0 188
11.1401 7170.0 188
11.8542 7249.0 188
12.5574 7329.0 188
13.2770 7404.0 188
15.3699 6036.0 188
16.0730 6012.0 188
16.7761 5997.0 188
18.1824 7416.0 188
18.8855 7334.0 188
19.5886 7258.0 188
20.2808 7186.0 188
20.9839 7112.0 188
21.6870 7041.0 188
22.3901 6972.0 188
23.0933 6906.0 188
23.7964 6845.0 188
24.4995 6787.0 188
25.2026 6728.0 188
25.9058 6670.0 188
26.6089 6613.0 188
27.2955 6561.0 188
27.9987 6513.0 188
28.7018 6464.0 188
30.1080 63.0 188
30.8112 62.0 188
32.2174 66.0 188
32.9205 67.0 188
34.3103 71.0 188
35.0134 70.0 188
35.7166 70.0 188
36.4197 71.0 188
37.1228 72.0 188
37.8259 73.0 188
38.5291 72.0 188
39.9353 72.0 188
40.6384 71.0 188
41.3416 71.0 188
42.0447 72.0 188
42.7643 72.0 188
43.4674 72.0 188
44.1870 72.0 188
44.9011 72.0 188
45.6042 72.0 188
46.3239 72.0 188
47.0435 72.0 188
47.7466 72.0 188
48.4662 72.0 188
49.1858 71.0 188
49.8889 71.0 188
50.6085 72.0 188
51.3281 71.0 188
52.0312 71.0 188
52.7454 72.0 188
53.4650 72.0 188
54.1681 72.0 188
54.8877 72.0 188
55.5908 73.0 188
57.0300 71.0 188
57.7332 71.0 188
58.4528 71.0 188
59.1669 71.0 188
59.8700 71.0 188
60.5896 71.0 188
61.3092 71.0 188
62.0123 71.0 188
62.7319 71.0 188
63.4515 72.0 188
64.1547 72.0 188
64.8743 72.0 188
65.5884 72.0 188
66.2915 72.0 188
67.0111 72.0 188
67.7307 72.0 188
68.4338 72.0 188
69.1534 72.0 188
69.8730 72.0 188
70.5762 71.0 188
71.2793 71.0 188
71.9824 72.0 188
72.6855 72.0 188
73.3887 72.0 188
74.0918 74.0 188
74.7949 74.0 188
75.4980 73.0 188
76.2012 72.0 188
76.9043 72.0 188
77.6074 73.0 188
78.3105 73.0 188
79.0137 72.0 188
79.7333 73.0 188
80.4364 74.0 188
81.8427 71.0 188
83.9520 63.0 188
84.6552 63.0 188
85.3583 63.0 188
86.0614 63.0 188
87.4677 68.0 188
93.8123 159.0 188
98.0420 146.0 188
98.7451 148.0 188
99.4482 147.0 188
100.1514 146.0 188
100.8545 145.0 188
102.9639 141.0 188
106.4795 131.0 188
107.1826 131.0 188
108.5889 128.0 188
109.2920 128.0 188
112.1045 125.0 188
114.2139 120.0 188
114.9170 119.0 188
115.6201 119.0 188
118.4326 114.0 188
119.1357 114.0 188
119.8389 113.0 188
120.5420 113.0 188
121.2451 112.0 188
121.9482 113.0 188
124.7607 684.0 188
125.4639 686.0 188
126.1670 693.0 188
126.8701 700.0 188
127.5897 706.0 188
128.2928 706.0 188
129.0125 701.0 188
129.7156 694.0 188
130.4352 692.0 188
131.1383 691.0 188
131.8579 683.0 188
132.5610 677.0 188
133.2806 679.0 188
133.9838 683.0 188
134.6979 685.0 188
135.4010 683.0 188
136.8237 590.0 188
137.5433 583.0 188
138.2465 582.0 188
138.9661 583.0 188
139.6692 583.0 188
140.3888 585.0 188
141.0919 588.0 188
141.8115 595.0 188
143.2343 684.0 188
143.9374 689.0 188
144.6515 695.0 188
145.3546 706.0 188
146.0742 717.0 188
146.7773 734.0 188
147.4969 753.0 188
148.9197 1392.0 188
149.6228 1394.0 188
150.3424 1395.0 188
151.0455 1394.0 188
151.7651 1395.0 188
152.4683 1396.0 188
153.1824 1398.0 188
153.8855 1397.0 188
154.6051 1398.0 188
155.3082 1400.0 188
156.0114 1403.0 188
156.7145 1404.0 188
157.4176 1406.0 188
158.1207 1410.0 188
158.8239 1412.0 188
159.5270 1414.0 188
160.2301 1413.0 188
161.6364 550.0 188
162.3560 538.0 188
163.0591 529.0 188
163.7622 521.0 188
164.4653 515.0 188
165.1685 508.0 188
165.8716 504.0 188
166.5747 502.0 188
167.2778 501.0 188
167.9810 502.0 188
168.6841 505.0 188
169.4037 510.0 188
170.1068 515.0 188
170.8099 523.0 188
171.5131 535.0 188
174.3256 723.0 188
175.0287 733.0 188
175.7318 731.0 188
176.4514 732.0 188
177.1545 748.0 188
177.8577 746.0 188
178.5608 736.0 188
179.2639 735.0 188
179.9670 737.0 188
180.6702 746.0 188
181.3733 763.0 188
182.0764 780.0 188
182.7960 789.0 188
183.4991 792.0 188
184.2188 791.0 188
184.9219 781.0 188
185.6360 775.0 188
186.3556 783.0 188
187.0587 787.0 188
187.7783 792.0 188
188.4979 796.0 188
189.2010 793.0 188
190.6403 830.0 188
191.3434 822.0 188
192.0575 815.0 188
192.7771 806.0 188
193.4802 801.0 188
194.1998 801.0 188
194.9194 799.0 188
195.6226 795.0 188
196.3422 790.0 188
197.0453 790.0 188
197.7649 793.0 188
198.4790 796.0 188
199.1821 796.0 188
199.9017 799.0 188
200.6213 804.0 188
201.3245 809.0 188
202.0441 819.0 188
203.4668 2360.0 188
204.1864 2401.0 188
204.9060 2443.0 188
205.6091 2488.0 188
206.3232 2534.0 188
207.0428 2580.0 188
207.7460 2630.0 188
208.4656 2684.0 188
209.1852 2740.0 188
209.8883 2796.0 188
210.6079 2855.0 188
211.3275 2921.0 188
212.0306 2989.0 188
212.7338 3061.0 188
213.4369 3136.0 188
214.1400 3194.0 188
214.8431 3202.0 188
215.5463 3179.0 188
216.2494 3159.0 188
216.9525 3143.0 188
217.6556 3125.0 188
218.3588 3109.0 188
219.0619 3094.0 188
219.7650 3080.0 188
222.5775 103.0 188
223.2806 103.0 188
223.9838 102.0 188
224.6869 103.0 188
225.3900 104.0 188
226.1041 103.0 188
226.8073 103.0 188
227.5104 103.0 188
228.2135 103.0 188
228.9166 102.0 188
229.6198 102.0 188
230.3229 101.0 188
231.0260 102.0 188
231.7291 102.0 188
232.4323 102.0 188
233.1354 101.0 188
233.8385 101.0 188
234.5416 102.0 188
235.2448 101.0 188
235.9479 101.0 188
236.6510 102.0 188
237.3541 101.0 188
238.0573 100.0 188
238.7604 100.0 188
239.4800 100.0 188
240.1831 100.0 188
240.8862 101.0 188
241.5894 101.0 188
