#RPLIDAR SCAN DATA
#COUNT=415
#Angule	Distance	Quality
359.7803 723.0 188
0.4834 723.0 188
1.2030 724.0 188
1.9061 723.0 188
2.6093 723.0 188
3.3234 724.0 188
4.0265 724.0 188
4.7296 724.0 188
5.4492 725.0 188
6.1523 726.0 188
6.8719 726.0 188
7.5751 727.0 188
8.2947 728.0 188
8.9978 730.0 188
9.7174 731.0 188
10.4370 731.0 188
11.1401 732.0 188
11.8542 734.0 188
12.5739 736.0 188
13.2770 738.0 188
13.9966 741.0 188
14.6997 744.0 188
15.4193 746.0 188
16.1389 747.0 188
16.8420 749.0 188
17.5616 753.0 188
18.2812 756.0 188
18.9844 758.0 188
19.6985 762.0 188
20.4016 767.0 188
21.1212 770.0 188
21.8408 773.0 188
22.5439 777.0 188
23.2635 781.0 188
23.9832 786.0 188
24.6863 790.0 188
25.4059 794.0 188
26.1090 800.0 188
26.8231 805.0 188
27.5427 808.0 188
28.2458 813.0 188
28.9655 818.0 188
29.6851 823.0 188
30.3882 828.0 188
31.1078 832.0 188
31.8109 838.0 188
32.5305 845.0 188
33.2446 851.0 188
33.9478 857.0 188
34.6674 863.0 188
35.3870 870.0 188
36.0901 878.0 188
36.8097 886.0 188
37.5293 893.0 188
38.2489 902.0 188
38.9685 912.0 188
39.6826 921.0 188
40.4022 931.0 188
41.1218 940.0 188
41.8414 950.0 188
42.5610 960.0 188
43.2806 972.0 188
43.9948 984.0 188
44.7144 995.0 188
45.4340 1008.0 188
46.1536 1020.0 188
46.8732 1033.0 188
47.5928 1047.0 188
48.3124 1060.0 188
49.0265 1076.0 188
49.7461 1091.0 188
50.4657 1105.0 188
51.1853 1121.0 188
51.9049 1138.0 188
52.6245 1156.0 188
53.3386 1174.0 188
54.0582 1192.0 188
54.7778 1213.0 188
55.4974 1233.0 188
56.2170 1254.0 188
56.9366 1273.0 188
57.6562 1280.0 188
58.3704 1271.0 188
59.0900 1255.0 188
59.8096 1245.0 188
60.5292 1235.0 188
61.2488 1226.0 188
61.9684 1216.0 188
62.6825 1208.0 188
63.4021 1200.0 188
64.1217 1192.0 188
64.8248 1183.0 188
65.5280 1177.0 188
66.2476 1169.0 188
66.9507 1161.0 188
67.6703 1153.0 188
68.3734 1147.0 188
69.0765 1142.0 188
69.7961 1135.0 188
70.4993 1129.0 188
71.2134 1124.0 188
71.9165 1119.0 188
72.6361 1114.0 188
73.3392 1110.0 188
74.0424 1104.0 188
74.7620 1099.0 188
75.4651 1096.0 188
76.1847 1091.0 188
76.8878 1086.0 188
77.6074 1084.0 188
78.3105 1080.0 188
79.0137 1076.0 188
79.7333 1074.0 188
80.4364 1070.0 188
81.1560 1066.0 188
81.8591 1063.0 188
82.5732 1063.0 188
83.2764 1061.0 188
83.9795 1057.0 188
84.6991 1055.0 188
85.4022 1054.0 188
86.1218 1053.0 188
86.8250 1052.0 188
87.5446 1049.0 188
88.2477 1046.0 188
88.9508 1047.0 188
89.6704 1046.0 188
90.3735 1044.0 188
91.0931 1044.0 188
91.7963 1045.0 188
