#RPLIDAR SCAN DATA
#COUNT=440
#Angule	Distance	Quality
3.9661 11486.0 188
23.2635 1645.0 188
24.7028 1547.0 188
25.4169 1502.0 188
26.1200 1459.0 188
26.8396 1420.0 188
27.5592 1383.0 188
28.2788 1350.0 188
28.9819 1317.0 188
29.7015 1283.0 188
30.4211 1252.0 188
31.1353 1225.0 188
31.8549 1198.0 188
32.5745 1171.0 188
33.2941 1148.0 188
34.0137 1128.0 188
34.7168 1109.0 188
35.4364 1090.0 188
36.1560 1072.0 188
36.8701 1054.0 188
37.5897 1036.0 188
38.3093 1018.0 188
39.0289 1002.0 188
39.7485 986.0 188
40.4517 971.0 188
41.1713 957.0 188
41.8854 943.0 188
42.6050 930.0 188
43.3246 916.0 188
44.0442 903.0 188
44.7638 892.0 188
45.4834 881.0 188
46.1865 870.0 188
46.9061 861.0 188
47.6202 852.0 188
48.3398 842.0 188
49.0594 831.0 188
49.7791 823.0 188
50.4987 816.0 188
51.2183 805.0 188
51.9214 797.0 188
52.6355 789.0 188
53.3551 780.0 188
54.0747 773.0 188
54.7943 765.0 188
55.5139 759.0 188
56.2335 751.0 188
56.9531 744.0 188
57.6562 737.0 188
58.3594 734.0 188
59.0735 730.0 188
59.7766 723.0 188
60.4962 716.0 188
61.1993 711.0 188
61.9189 705.0 188
62.6221 700.0 188
63.3417 695.0 188
64.0448 692.0 188
64.7479 687.0 188
65.4675 683.0 188
66.1707 679.0 188
66.8903 675.0 188
67.5934 670.0 188
68.3075 667.0 188
69.0106 664.0 188
69.7302 659.0 188
70.4333 656.0 188
71.1365 654.0 188
71.8561 650.0 188
72.5592 647.0 188
73.2788 645.0 188
73.9819 642.0 188
74.7015 639.0 188
75.4047 638.0 188
76.1243 638.0 188
76.8274 634.0 188
77.5415 630.0 188
78.2446 630.0 188
78.9478 630.0 188
79.6674 630.0 188
80.3705 629.0 188
81.0901 628.0 188
81.7932 626.0 188
82.5128 624.0 188
83.2159 623.0 188
83.9355 622.0 188
84.6387 621.0 188
85.3583 619.0 188
86.0614 617.0 188
86.7810 617.0 188
87.4841 617.0 188
88.1982 617.0 188
88.9178 615.0 188
89.6210 615.0 188
90.3406 617.0 188
91.0602 618.0 188
91.7633 619.0 188
92.4829 620.0 188
93.1860 619.0 188
93.9056 619.0 188
94.6198 620.0 188
95.3229 619.0 188
96.0425 619.0 188
96.7621 621.0 188
97.4652 621.0 188
98.1848 622.0 188
98.8879 624.0 188
99.6075 625.0 188
100.3271 626.0 188
101.0303 627.0 188
101.7499 629.0 188
102.4640 630.0 188
103.1671 631.0 188
103.8867 633.0 188
104.5898 635.0 188
105.3094 637.0 188
106.0291 641.0 188
106.7322 643.0 188
107.4518 645.0 188
108.1714 647.0 188
108.8745 650.0 188
109.5886 654.0 188
110.2917 656.0 188
111.0114 659.0 188
111.7310 663.0 188
112.4341 667.0 188
113.1537 670.0 188
113.8733 674.0 188
114.5764 677.0 188
115.2795 681.0 188
115.9827 686.0 188
116.7023 690.0 188
117.4054 694.0 188
118.1085 698.0 188
118.8281 701.0 188
119.5312 707.0 188
120.2344 715.0 188
120.9375 721.0 188
121.6516 727.0 188
122.3547 732.0 188
123.0579 736.0 188
123.7775 741.0 188
124.4806 749.0 188
125.1837 757.0 188
125.9033 762.0 188
126.6064 768.0 188
127.3096 776.0 188
128.0127 785.0 188
128.7323 794.0 188
129.4354 802.0 188
130.1385 809.0 188
130.8582 819.0 188
131.5613 829.0 188
132.2644 836.0 188
132.9840 845.0 188
133.6871 855.0 188
134.3903 864.0 188
135.0934 874.0 188
