#RPLIDAR SCAN DATA
#COUNT=417
#Angule	Distance	Quality
359.7308 10478.0 188
0.4340 10482.0 188
21.6870 1633.0 188
22.4011 1586.0 188
23.1042 1542.0 188
23.8074 1501.0 188
24.5270 1461.0 188
25.2301 1423.0 188
25.9332 1387.0 188
26.6528 1349.0 188
27.3560 1317.0 188
28.0756 1290.0 188
28.7787 1263.0 188
29.4818 1238.0 188
30.2014 1214.0 188
30.9045 1188.0 188
31.6077 1162.0 188
32.3273 1139.0 188
33.0304 1118.0 188
33.7500 1098.0 188
34.4531 1080.0 188
35.1672 1063.0 188
35.8868 1045.0 188
36.5900 1026.0 188
37.3096 1009.0 188
38.0292 994.0 188
38.7488 980.0 188
39.4519 965.0 188
40.1715 951.0 188
40.8856 938.0 188
41.5887 924.0 188
42.3083 911.0 188
43.0280 901.0 188
43.7476 890.0 188
44.4507 878.0 188
45.1703 868.0 188
45.8899 859.0 188
46.6040 849.0 188
47.3071 839.0 188
48.0267 831.0 188
48.7463 823.0 188
49.4495 815.0 188
50.1691 807.0 188
50.8887 799.0 188
51.6083 791.0 188
52.3114 783.0 188
53.0310 774.0 188
53.7451 767.0 188
54.4647 760.0 188
55.1678 754.0 188
55.8875 748.0 188
56.6071 740.0 188
57.3102 734.0 188
58.0298 730.0 188
58.7494 726.0 188
59.4635 721.0 188
60.1666 715.0 188
60.8862 709.0 188
61.6058 705.0 188
62.3254 700.0 188
63.0286 695.0 188
63.7317 690.0 188
64.4348 686.0 188
65.1379 683.0 188
65.8411 679.0 188
66.5442 676.0 188
67.2473 671.0 188
67.9504 668.0 188
68.6536 665.0 188
69.3567 661.0 188
70.0763 657.0 188
70.7794 654.0 188
71.4825 652.0 188
72.1857 650.0 188
72.8888 647.0 188
73.5919 644.0 188
74.2950 644.0 188
74.9982 643.0 188
75.7013 638.0 188
76.4044 637.0 188
77.1240 637.0 188
77.8271 634.0 188
78.5303 632.0 188
79.2334 632.0 188
79.9365 631.0 188
80.6396 630.0 188
81.3428 629.0 188
82.0459 628.0 188
82.7490 628.0 188
83.4521 627.0 188
84.1718 627.0 188
84.8749 626.0 188
85.5780 626.0 188
86.2811 627.0 188
86.9843 627.0 188
87.6874 627.0 188
88.3905 627.0 188
89.0936 627.0 188
89.7968 628.0 188
90.5109 629.0 188
91.2140 628.0 188
91.9171 629.0 188
92.6202 631.0 188
93.3234 633.0 188
94.0265 633.0 188
