#RPLIDAR SCAN DATA
#COUNT=429
#Angule	Distance	Quality
359.3738 9644.0 188
0.0769 9655.0 188
0.7800 9661.0 188
1.4996 9671.0 188
17.7649 1841.0 188
20.5774 1612.0 188
21.2805 1565.0 188
21.9836 1520.0 188
22.6868 1477.0 188
23.3899 1436.0 188
24.0930 1399.0 188
24.7961 1365.0 188
25.4993 1333.0 188
26.2024 1302.0 188
26.9055 1272.0 188
27.6086 1244.0 188
28.2953 1219.0 188
28.9984 1195.0 188
29.7015 1169.0 188
30.4047 1143.0 188
31.1078 1119.0 188
31.8109 1098.0 188
32.5140 1079.0 188
33.2172 1059.0 188
33.9203 1041.0 188
34.6234 1023.0 188
35.3265 1004.0 188
36.0297 987.0 188
36.7328 972.0 188
37.4359 958.0 188
38.1390 943.0 188
38.8422 929.0 188
39.5453 916.0 188
40.2484 903.0 188
40.9515 890.0 188
41.6547 879.0 188
42.3578 869.0 188
43.0609 860.0 188
43.7805 849.0 188
44.4946 838.0 188
45.1978 829.0 188
45.9174 822.0 188
46.6370 812.0 188
47.3401 802.0 188
48.0597 794.0 188
48.7793 787.0 188
49.4824 778.0 188
50.2020 769.0 188
50.9216 761.0 188
51.6248 754.0 188
52.3389 747.0 188
53.0585 740.0 188
53.7616 733.0 188
54.4812 727.0 188
55.2008 721.0 188
55.9039 716.0 188
56.6235 708.0 188
57.3431 700.0 188
58.0463 695.0 188
58.7604 689.0 188
59.4800 687.0 188
60.1831 683.0 188
60.9027 676.0 188
61.6223 672.0 188
62.3254 668.0 188
63.0450 664.0 188
63.7646 659.0 188
64.4678 656.0 188
65.1874 653.0 188
65.9015 649.0 188
66.6046 647.0 188
67.3242 644.0 188
68.0438 640.0 188
68.7469 637.0 188
69.4666 634.0 188
70.1862 632.0 188
70.9058 630.0 188
71.6089 627.0 188
72.3120 624.0 188
73.0151 623.0 188
73.7183 623.0 188
74.4214 621.0 188
75.1245 620.0 188
75.8276 616.0 188
76.5308 614.0 188
77.2339 614.0 188
77.9370 613.0 188
78.6401 612.0 188
79.3433 610.0 188
80.0464 609.0 188
80.7495 607.0 188
81.4526 606.0 188
82.1558 604.0 188
82.8589 603.0 188
83.5620 604.0 188
84.2651 604.0 188
84.9683 604.0 188
85.6824 603.0 188
86.3855 603.0 188
87.0886 604.0 188
87.7917 603.0 188
88.4949 601.0 188
89.1980 602.0 188
89.9011 602.0 188
90.6042 602.0 188
91.3074 604.0 188
92.0105 604.0 188
92.7136 604.0 188
93.4167 605.0 188
94.1199 606.0 188
94.8230 607.0 188
95.5261 608.0 188
96.2292 610.0 188
96.9324 610.0 188
97.6355 611.0 188
98.3386 612.0 188
99.0582 614.0 188
99.7449 615.0 188
100.4480 617.0 188
101.1511 618.0 188
101.8542 619.0 188
102.5574 622.0 188
103.2605 624.0 188
103.9636 626.0 188
104.6667 629.0 188
105.3699 632.0 188
106.0730 635.0 188
106.7761 637.0 188
107.4792 639.0 188
108.1824 641.0 188
108.8855 643.0 188
109.5886 648.0 188
110.2917 652.0 188
110.9949 655.0 188
111.6980 659.0 188
112.4011 663.0 188
113.0933 668.0 188
113.7964 672.0 188
114.4995 676.0 188
115.2026 681.0 188
115.9058 686.0 188
116.6089 691.0 188
117.3120 696.0 188
118.0151 700.0 188
118.7183 707.0 188
119.4214 714.0 188
120.1245 720.0 188
