#RPLIDAR SCAN DATA
#COUNT=429
#Angule	Distance	Quality
359.3243 6114.0 188
4.2627 3396.0 188
17.7649 1854.0 188
19.1821 1741.0 188
20.6049 1640.0 188
21.3080 1600.0 188
22.0276 1560.0 188
22.7307 1518.0 188
23.4503 1481.0 188
24.1534 1445.0 188
24.8730 1411.0 188
25.5762 1381.0 188
26.2958 1351.0 188
26.9989 1322.0 188
27.7185 1296.0 188
28.4216 1268.0 188
29.1357 1242.0 188
29.8389 1220.0 188
30.5585 1197.0 188
31.2616 1174.0 188
31.9812 1152.0 188
32.6843 1131.0 188
33.4039 1111.0 188
34.1235 1095.0 188
34.8431 1079.0 188
35.5463 1062.0 188
36.2604 1046.0 188
36.9800 1030.0 188
37.6996 1013.0 188
38.4027 998.0 188
39.1223 985.0 188
39.8419 973.0 188
40.5615 959.0 188
41.2646 947.0 188
41.9843 936.0 188
42.6984 925.0 188
43.4180 913.0 188
44.1211 903.0 188
44.8407 893.0 188
45.5603 883.0 188
46.2799 874.0 188
46.9830 866.0 188
47.7026 857.0 188
48.4167 848.0 188
49.1364 841.0 188
49.8395 833.0 188
50.5591 826.0 188
51.2787 819.0 188
51.9983 810.0 188
52.7014 803.0 188
53.4210 798.0 188
54.1406 791.0 188
54.8547 782.0 188
55.5579 776.0 188
56.2775 772.0 188
56.9971 766.0 188
57.7167 760.0 188
58.4198 754.0 188
59.1394 749.0 188
59.8590 744.0 188
60.5731 741.0 188
61.2762 739.0 188
61.9794 735.0 188
62.6825 731.0 188
63.4021 726.0 188
64.1052 722.0 188
64.8083 718.0 188
65.5115 715.0 188
66.2311 711.0 188
66.9342 706.0 188
67.6373 703.0 188
68.3405 701.0 188
69.0601 697.0 188
69.7632 695.0 188
70.4663 693.0 188
71.1694 690.0 188
71.8890 689.0 188
72.5922 687.0 188
73.2953 685.0 188
73.9984 683.0 188
74.7180 681.0 188
75.4211 679.0 188
76.1243 677.0 188
76.8274 675.0 188
77.5415 674.0 188
78.2446 673.0 188
78.9478 671.0 188
79.6509 670.0 188
80.3705 669.0 188
81.0736 668.0 188
81.7767 667.0 188
82.4799 666.0 188
83.1995 665.0 188
83.9026 666.0 188
84.6057 665.0 188
85.3088 665.0 188
86.0284 666.0 188
86.7316 665.0 188
87.4347 665.0 188
88.1378 667.0 188
88.8574 667.0 188
89.5605 666.0 188
90.2802 666.0 188
90.9833 668.0 188
91.7029 670.0 188
92.4060 670.0 188
93.1201 672.0 188
93.8232 673.0 188
94.5428 673.0 188
95.2460 675.0 188
95.9656 676.0 188
96.6687 676.0 188
97.3883 678.0 188
98.0914 681.0 188
98.8110 683.0 188
99.5142 684.0 188
100.2338 686.0 188
100.9369 689.0 188
101.6510 691.0 188
102.3541 693.0 188
103.0737 696.0 188
103.7769 699.0 188
104.4965 702.0 188
105.1996 705.0 188
105.9192 708.0 188
106.6223 713.0 188
107.3419 717.0 188
108.0450 720.0 188
108.7646 724.0 188
109.4678 729.0 188
110.1874 733.0 188
110.8905 737.0 188
111.6046 741.0 188
112.3077 745.0 188
113.0273 749.0 188
113.7305 754.0 188
114.4501 760.0 188
115.1532 766.0 188
115.8728 770.0 188
116.5759 776.0 188
117.2955 782.0 188
117.9987 788.0 188
118.7018 794.0 188
119.4049 799.0 188
120.1080 805.0 188
120.8276 812.0 188
121.5308 820.0 188
122.2339 829.0 188
122.9370 834.0 188
123.6511 840.0 188
124.3542 848.0 188
125.0574 855.0 188
125.7605 863.0 188
126.4636 871.0 188
127.1832 879.0 188
127.8864 890.0 188
128.5895 900.0 188
129.2926 908.0 188
130.0122 920.0 188
130.7153 930.0 188
131.4185 942.0 188
132.1216 956.0 188
132.8247 967.0 188
133.5443 979.0 188
134.2474 992.0 188
134.9506 1005.0 188
135.6537 1019.0 188
136.3733 1035.0 188
137.0764 1053.0 188
137.7795 1068.0 188
138.4827 1085.0 188
139.1858 1102.0 188
139.9054 1119.0 188
140.6085 1137.0 188
141.3116 1157.0 188
142.0148 1179.0 188
142.7344 1203.0 188
143.4375 1226.0 188
144.1406 1250.0 188
144.8438 1275.0 188
145.5579 1303.0 188
146.2610 1330.0 188
146.9641 1357.0 188
147.6672 1387.0 188
148.3704 1422.0 188
149.0735 1457.0 188
149.7931 1492.0 188
150.4962 1531.0 188
151.1993 1572.0 188
151.9025 1614.0 188
152.6056 1659.0 188
153.3087 1707.0 188
166.0309 3774.0 188
166.7340 3815.0 188
167.4371 3836.0 188
168.1403 3849.0 188
168.8434 3845.0 188
169.5465 3842.0 188
170.2606 3837.0 188
170.9637 3830.0 188
171.6669 3829.0 188
172.3700 3828.0 188
173.0731 3818.0 188
173.7927 3813.0 188
174.4958 3808.0 188
175.2155 3805.0 188
175.9186 3808.0 188
176.6382 3808.0 188
177.3578 3805.0 188
178.0609 3805.0 188
178.7805 3808.0 188
179.4946 3811.0 188
180.1978 3815.0 188
185.9216 9511.0 188
188.0420 27.0 188
196.6058 3950.0 188
197.3254 3946.0 188
199.4678 3637.0 188
200.1874 3530.0 188
200.8905 3425.0 188
201.6046 3334.0 188
202.3242 3253.0 188
203.0273 3170.0 188
203.7305 3092.0 188
204.4336 3021.0 188
205.1367 2951.0 188
205.8398 2886.0 188
206.5594 2825.0 188
207.2626 2763.0 188
207.9657 2704.0 188
208.6688 2648.0 188
209.3719 2597.0 188
210.0916 2548.0 188
210.7947 2501.0 188
211.4978 2456.0 188
212.2009 2414.0 188
212.9041 2372.0 188
213.6237 2331.0 188
214.3268 2294.0 188
215.0299 2258.0 188
215.7330 2224.0 188
216.4362 2189.0 188
217.1558 2156.0 188
217.8589 2125.0 188
218.5620 2095.0 188
219.2651 2066.0 188
219.9683 2039.0 188
220.6824 2012.0 188
221.3855 1984.0 188
222.0886 1959.0 188
222.7917 1935.0 188
223.4949 1911.0 188
224.2145 1887.0 188
224.9176 1866.0 188
225.6207 1844.0 188
226.3239 1825.0 188
227.0270 1806.0 188
227.7466 1788.0 188
228.4497 1769.0 188
229.1528 1749.0 188
229.8560 1732.0 188
230.5756 1715.0 188
231.2787 1699.0 188
231.9818 1686.0 188
232.6849 1672.0 188
233.3881 1657.0 188
234.0912 1644.0 188
234.7943 1631.0 188
235.5139 1618.0 188
236.2170 1607.0 188
236.9202 1597.0 188
237.6233 1585.0 188
238.3264 1574.0 188
239.0295 1564.0 188
239.7327 1555.0 188
240.4523 1546.0 188
241.1554 1535.0 188
241.8585 1524.0 188
242.5616 1516.0 188
243.2648 1508.0 188
243.9679 1500.0 188
244.6710 1492.0 188
245.3906 1483.0 188
246.0938 1476.0 188
246.7969 1471.0 188
247.5000 1464.0 188
248.2031 1457.0 188
248.9062 1451.0 188
249.6204 1445.0 188
250.3235 1439.0 188
251.0266 1432.0 188
251.7297 1427.0 188
252.4329 1423.0 188
253.1360 1418.0 188
253.8391 1413.0 188
254.5587 1408.0 188
255.2618 1404.0 188
255.9650 1400.0 188
256.6681 1396.0 188
257.3712 1393.0 188
258.0743 1392.0 188
258.7939 1389.0 188
259.4971 1387.0 188
260.2002 1384.0 188
260.9198 1383.0 188
261.6229 1382.0 188
262.3260 1378.0 188
263.0457 1377.0 188
263.7488 1378.0 188
264.4684 1376.0 188
265.1715 1375.0 188
265.8746 1376.0 188
266.5887 1377.0 188
267.2919 1378.0 188
267.9950 1377.0 188
268.7146 1377.0 188
269.4177 1378.0 188
270.1373 1378.0 188
270.8405 1379.0 188
271.5436 1380.0 188
272.2632 1383.0 188
272.9663 1383.0 188
273.6694 1385.0 188
274.3890 1389.0 188
275.0922 1392.0 188
275.8118 1396.0 188
276.5149 1399.0 188
277.2180 1403.0 188
277.9321 1408.0 188
278.6353 1412.0 188
279.3384 1416.0 188
280.0580 1421.0 188
280.7611 1427.0 188
281.4807 1433.0 188
282.1838 1437.0 188
282.8870 1442.0 188
283.6066 1448.0 188
284.3097 1454.0 188
285.0128 1460.0 188
285.7324 1465.0 188
286.4355 1472.0 188
287.1552 1480.0 188
287.8583 1485.0 188
288.5614 1492.0 188
289.2645 1500.0 188
289.9841 1509.0 188
290.6873 1516.0 188
291.3904 1523.0 188
292.0935 1533.0 188
292.8076 1542.0 188
293.5107 1549.0 188
294.2139 1559.0 188
294.9335 1570.0 188
295.6366 1580.0 188
296.3397 1591.0 188
297.0428 1602.0 188
297.7625 1614.0 188
298.4656 1628.0 188
299.1687 1639.0 188
299.8718 1652.0 188
300.5914 1669.0 188
301.2946 1683.0 188
301.9977 1697.0 188
302.7173 1713.0 188
303.4204 1730.0 188
304.1235 1746.0 188
304.8267 1764.0 188
305.5463 1783.0 188
306.2494 1803.0 188
306.9525 1822.0 188
307.6556 1839.0 188
308.3698 1859.0 188
309.0729 1879.0 188
309.7760 1899.0 188
310.4956 1922.0 188
311.1987 1947.0 188
311.9019 1972.0 188
312.6050 1998.0 188
313.3246 2025.0 188
314.0277 2052.0 188
314.7308 2080.0 188
315.4504 2110.0 188
