#RPLIDAR SCAN DATA
#COUNT=426
#Angule	Distance	Quality
14.0295 1848.0 188
15.4358 1737.0 188
16.1389 1685.0 188
16.8256 1638.0 188
17.5287 1596.0 188
18.2318 1555.0 188
18.9349 1516.0 188
19.6381 1477.0 188
20.3247 1440.0 188
21.0278 1407.0 188
21.7310 1374.0 188
22.4341 1343.0 188
23.1372 1314.0 188
23.8239 1287.0 188
24.5270 1260.0 188
25.2301 1235.0 188
25.9332 1212.0 188
26.6364 1190.0 188
27.3230 1170.0 188
28.0261 1148.0 188
28.7292 1127.0 188
29.4324 1108.0 188
30.1355 1089.0 188
30.8276 1071.0 188
31.5308 1053.0 188
32.2339 1035.0 188
32.9370 1017.0 188
33.6401 1003.0 188
34.3268 989.0 188
35.0299 976.0 188
35.7330 962.0 188
36.4362 949.0 188
37.1393 936.0 188
37.8424 923.0 188
38.5455 913.0 188
39.2487 902.0 188
39.9518 891.0 188
40.6549 882.0 188
41.3580 873.0 188
42.0612 863.0 188
42.7643 856.0 188
43.4674 848.0 188
44.1705 839.0 188
44.8737 830.0 188
45.5768 821.0 188
46.2799 813.0 188
46.9830 807.0 188
47.7026 800.0 188
48.4058 793.0 188
49.1089 785.0 188
49.8120 778.0 188
50.5151 771.0 188
51.2183 765.0 188
51.9214 761.0 188
52.6245 755.0 188
53.3276 748.0 188
54.0308 743.0 188
54.7339 739.0 188
55.4370 733.0 188
56.1401 729.0 188
56.8542 724.0 188
57.5574 720.0 188
58.2605 716.0 188
58.9636 712.0 188
59.6667 707.0 188
60.3699 702.0 188
61.0730 699.0 188
61.7761 696.0 188
62.4792 694.0 188
63.1824 691.0 188
63.8855 687.0 188
64.5886 683.0 188
65.2917 680.0 188
66.0114 677.0 188
66.6980 675.0 188
67.4011 672.0 188
68.0933 670.0 188
68.7964 667.0 188
69.4830 665.0 188
70.1862 664.0 188
70.8728 662.0 188
71.5759 660.0 188
72.2626 658.0 188
72.9657 656.0 188
73.6688 655.0 188
74.3555 654.0 188
75.0586 652.0 188
75.7452 652.0 188
76.4484 653.0 188
77.1405 651.0 188
77.8436 651.0 188
78.5303 650.0 188
79.2334 648.0 188
79.9200 647.0 188
80.6232 647.0 188
81.3263 647.0 188
82.0129 647.0 188
82.7161 646.0 188
83.4027 646.0 188
84.1058 647.0 188
84.7925 646.0 188
85.4956 646.0 188
86.1823 647.0 188
86.8854 648.0 188
87.5885 649.0 188
88.2806 648.0 188
88.9838 650.0 188
89.6704 651.0 188
90.3735 653.0 188
91.0602 653.0 188
91.7633 653.0 188
92.4500 654.0 188
93.1531 655.0 188
93.8562 657.0 188
94.5428 659.0 188
95.2460 660.0 188
95.9326 663.0 188
96.6357 666.0 188
97.3279 668.0 188
98.0310 670.0 188
98.7177 672.0 188
99.4208 673.0 188
100.1074 676.0 188
100.8105 680.0 188
101.4972 682.0 188
102.2003 686.0 188
102.8870 690.0 188
103.5901 693.0 188
104.2767 695.0 188
104.9799 699.0 188
105.6665 703.0 188
106.3696 706.0 188
107.0618 711.0 188
107.7649 718.0 188
108.4515 722.0 188
109.1547 725.0 188
109.8413 730.0 188
110.5444 735.0 188
111.2311 739.0 188
